date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:11	228272/228272	---MCZ	200	added ('OK')	text/html	etag:%22362f555cb0ffd6b316f8942f2dcdb186-ssl-df%22	https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index.html	C:/My%20Web%20Sites/pupa2/64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index.html	(from )
08:43:11	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1687638143-ssl-df	https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/robots.txt		(from )
08:43:12	3082/3082	---M-Z	200	added ('OK')	text/html	etag:%2239b461d64bb11b85d3d194758752e6d5-ssl-df%22	https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/indexc0d0.html?format=feed&type=rss	C:/My%20Web%20Sites/pupa2/64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/indexc0d0c0d0.html	(from https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index.html)
08:43:12	3082/3082	---M-Z	200	added ('OK')	text/html	etag:%2239b461d64bb11b85d3d194758752e6d5-ssl-df%22	https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index7b17.html?format=feed&type=atom	C:/My%20Web%20Sites/pupa2/64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index7b177b17.html	(from https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index.html)
08:43:13	206348/206348	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22ff4f51a70e1181d188fe8dd48c0c8182-ssl%22	https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/templates/cassiopeia/favicon.ico	C:/My%20Web%20Sites/pupa2/64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/templates/cassiopeia/favicon.ico	(from https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index.html)
08:43:14	94915/94915	---MCZ	200	added ('OK')	text/css	etag:%22497b23f4e9e7e3999850cc998738109c-ssl-df%22	https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/media/system/css/joomla-fontawesome.min9dcf.css?510110586cdf8d29dc55ba13f7edf9e6	C:/My%20Web%20Sites/pupa2/64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/media/system/css/joomla-fontawesome.min9dcf9dcf.css	(from https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index.html)
08:43:14	126/126	---M--	200	added ('OK')	text/css	etag:%22cd8adf26d48a05a61c0671f66ab1aef5-ssl%22	https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/templates/cassiopeia/css/global/colors_standard.min9dcf.css?510110586cdf8d29dc55ba13f7edf9e6	C:/My%20Web%20Sites/pupa2/64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/templates/cassiopeia/css/global/colors_standard.min9dcf9dcf.css	(from https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index.html)
08:43:15	269114/269114	---MCZ	200	added ('OK')	text/css	etag:%228c11c7fbec3f39a2bb4082754947ade2-ssl-df%22	https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/templates/cassiopeia/css/template.min9dcf.css?510110586cdf8d29dc55ba13f7edf9e6	C:/My%20Web%20Sites/pupa2/64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/templates/cassiopeia/css/template.min9dcf9dcf.css	(from https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index.html)
08:43:15	6688/6688	---MCZ	200	added ('OK')	text/css	etag:%22da49cadca8590a87f855d13403d8e5bb-ssl-df%22	https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/templates/cassiopeia/css/vendor/joomla-custom-elements/joomla-alert.min44b7.css?0.2.0	C:/My%20Web%20Sites/pupa2/64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/templates/cassiopeia/css/vendor/joomla-custom-elements/joomla-alert.min44b744b7.css	(from https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index.html)
08:43:16	3493/3493	---MCZ	200	added ('OK')	text/css	etag:%22ca139ae6387f3180a9073506c19cd3ac-ssl-df%22	https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/style.css	C:/My%20Web%20Sites/pupa2/64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/style.css	(from https://64975080f4f574123b9b5887--timely-entremet-767bc4.netlify.app/649580c2e15b4e1f42e55bba--bucolic-blini-c26de0.netlify.app/index.html)
